image,y,g_alignment,g_colorfulness,g_composition,g_contrast,g_harmony,g_local,g_simplicity,g_whitespace,r_colorfulness_variety,r_dominant_colors,r_edge_density,r_jpeg_bpp,r_whitespace,score,weighted_sum,x_anisotropy,x_contour_congestion,x_edge_orientation_entropy,x_feature_congestion,x_sequence
../calista/comparison-based-dataset/images/0.png,6.84195781867407,0.194,0.432,0.06,1.0,0.858,0.444,0.0,0.153,66.2323,26.0,0.2743,0.1632,0.3185,13.0,0.3015,0.9229,0.7048,0.8937,0.0393,0.9
../calista/comparison-based-dataset/images/1.png,4.95400994273002,0.17,0.978,0.56,1.0,0.853,0.622,0.0,0.127,31.7475,12.0,0.2828,0.17,0.3039,37.0,0.4779,1.0438,0.7585,0.8663,0.0336,0.8
../calista/comparison-based-dataset/images/10.png,5.16641851139472,0.495,0.739,0.8,1.0,0.926,0.782,0.652,0.732,49.7561,5.0,0.0996,0.0826,0.743,84.0,0.7515,1.3305,0.576,0.8171,0.0171,0.9
../calista/comparison-based-dataset/images/11.png,6.10469914598722,0.223,0.945,0.75,1.0,0.909,0.615,0.083,0.983,35.7209,8.0,0.2162,0.147,0.591,68.0,0.64,1.5212,0.6304,0.7513,0.0258,0.1
../calista/comparison-based-dataset/images/12.png,6.74279841938473,0.356,0.951,0.29,1.0,1.0,0.655,0.333,0.574,14.8985,7.0,0.1592,0.1193,0.784,48.0,0.5385,0.58,0.6253,0.943,0.0084,0.0
../calista/comparison-based-dataset/images/13.png,6.67019414590865,0.229,0.553,0.17,1.0,0.892,0.64,0.537,0.902,59.6566,5.0,0.1388,0.0905,0.6905,43.0,0.5104,1.1916,0.6888,0.8135,0.0212,0.3
../calista/comparison-based-dataset/images/14.png,9.15897557410097,0.195,0.987,0.73,0.923,0.829,0.774,0.071,0.276,30.2334,23.0,0.2543,0.1357,0.3704,51.0,0.554,0.8314,0.7364,0.8983,0.0199,0.0
../calista/comparison-based-dataset/images/15.png,6.13170827057611,0.346,0.159,0.8,1.0,0.863,0.734,0.225,0.139,86.0694,8.0,0.1698,0.1357,0.3111,53.0,0.5647,1.3902,0.5665,0.7988,0.0382,0.6
../calista/comparison-based-dataset/images/16.png,7.07143653493455,0.163,0.611,0.39,1.0,0.859,0.593,0.135,0.141,56.5679,12.0,0.2124,0.12,0.3118,28.0,0.4263,1.3109,0.6793,0.8157,0.0286,0.9
../calista/comparison-based-dataset/images/17.png,5.18519205856271,0.143,0.211,0.84,1.0,0.813,0.781,0.0,0.14,81.0938,11.0,0.3479,0.1946,0.3115,43.0,0.5129,0.8811,0.7179,0.8829,0.0582,0.8
../calista/comparison-based-dataset/images/18.png,3.36269566234934,0.256,0.836,0.28,1.0,0.922,0.66,0.185,0.406,44.0562,6.0,0.2242,0.1334,0.4112,35.0,0.4677,1.1857,0.6989,0.8239,0.0309,0.1
../calista/comparison-based-dataset/images/19.png,9.50900455381425,0.202,0.134,0.42,0.749,0.828,0.705,0.195,0.092,88.7953,4.0,0.2763,0.1544,0.2803,23.0,0.3945,0.6018,0.7351,0.9424,0.0458,0.7
../calista/comparison-based-dataset/images/2.png,6.11719052343527,0.32,0.379,0.85,0.43,0.899,0.866,0.0,0.019,69.3488,13.0,0.3034,0.1622,0.1826,40.0,0.4986,0.3559,0.6729,0.9752,0.0407,0.5
../calista/comparison-based-dataset/images/20.png,8.18736979942218,0.27,0.29,0.35,1.0,0.856,0.629,0.09,0.007,75.0406,20.0,0.2115,0.136,0.1331,23.0,0.3953,1.012,0.6203,0.8712,0.033,0.2
../calista/comparison-based-dataset/images/21.png,1.2527149690099,0.527,0.865,0.31,1.0,1.0,0.845,0.36,0.452,7.8806,7.0,0.1608,0.1088,0.424,54.0,0.5694,1.5844,0.6949,0.7337,0.0065,0.5
../calista/comparison-based-dataset/images/22.png,8.23862164412275,0.337,0.996,0.65,1.0,0.986,0.883,0.515,0.807,22.1108,5.0,0.1301,0.1049,0.7219,77.0,0.7001,1.0063,0.656,0.8689,0.0122,0.9
../calista/comparison-based-dataset/images/23.png,1.26048066804997,0.242,0.995,0.18,1.0,0.821,0.737,0.004,0.984,21.7494,12.0,0.264,0.1585,0.5917,36.0,0.474,1.4926,0.7635,0.7622,0.0203,0.9
../calista/comparison-based-dataset/images/24.png,6.51882357332939,0.273,0.968,0.41,1.0,0.866,0.767,0.144,0.722,33.1746,13.0,0.1929,0.1323,0.4944,49.0,0.5416,1.098,0.6586,0.8635,0.0196,0.1
../calista/comparison-based-dataset/images/25.png,8.53527354511393,0.133,0.384,0.34,0.828,0.94,0.531,0.0,0.025,68.9978,27.0,0.3377,0.1643,0.1969,18.0,0.3506,0.9151,0.7225,0.8931,0.0385,0.9
../calista/comparison-based-dataset/images/26.png,7.04830676756085,0.337,0.93,0.61,1.0,0.883,0.414,0.845,0.475,37.1474,4.0,0.0608,0.0599,0.8097,71.0,0.6594,0.8264,0.5841,0.8905,0.0147,0.9
../calista/comparison-based-dataset/images/27.png,4.22722159448699,0.32,0.956,0.52,1.0,1.0,0.581,0.646,0.543,15.4052,4.0,0.1216,0.0792,0.4481,66.0,0.6336,1.0992,0.5553,0.8525,0.0072,1.0
