image,y,g_alignment,g_colorfulness,g_composition,g_contrast,g_harmony,g_local,g_simplicity,g_whitespace,r_colorfulness_variety,r_dominant_colors,r_edge_density,r_jpeg_bpp,r_whitespace,score,weighted_sum,x_anisotropy,x_contour_congestion,x_edge_orientation_entropy,x_feature_congestion,x_sequence
../calista/rating-based-dataset/images/english/0.png,2.235651214128035,0.277,0.857,0.32,1.0,0.907,0.527,0.071,0.647,42.6889,7.0,0.2574,0.1764,0.4748,37.0,0.4823,0.9175,0.7983,0.8908,0.0222,0.2
../calista/rating-based-dataset/images/english/1.png,4.181764705882353,0.184,0.792,0.51,1.0,0.897,0.558,0.0,0.321,46.7304,11.0,0.2907,0.184,0.3856,36.0,0.475,1.1933,0.7022,0.8401,0.0313,0.7
../calista/rating-based-dataset/images/english/10.png,3.9167585446527013,0.207,0.969,0.06,1.0,0.797,0.397,0.214,0.915,33.0269,3.0,0.2937,0.2042,0.6857,29.0,0.433,0.9664,0.7494,0.8863,0.0212,0.7
../calista/rating-based-dataset/images/english/100.png,4.953846153846154,0.12,0.467,0.48,1.0,0.935,0.866,0.086,0.984,64.2801,7.0,0.2378,0.1549,0.592,48.0,0.5376,0.9199,0.6883,0.8895,0.031,0.7
../calista/rating-based-dataset/images/english/101.png,4.857688113413304,0.101,0.998,0.32,1.0,0.858,0.7,0.0,0.388,27.0254,17.0,0.4074,0.2162,0.4059,29.0,0.4323,1.0408,0.8072,0.8708,0.0266,0.8
../calista/rating-based-dataset/images/english/102.png,4.885321100917431,0.129,0.751,0.37,1.0,0.844,0.779,0.0,0.316,49.0533,16.0,0.3404,0.1884,0.3839,29.0,0.4322,1.182,0.7373,0.8187,0.0397,1.0
../calista/rating-based-dataset/images/english/103.png,5.142398286937902,0.296,0.743,0.79,1.0,0.944,0.78,0.071,0.827,49.5526,7.0,0.3028,0.1722,0.5241,69.0,0.647,0.843,0.6709,0.8748,0.0103,0.7
../calista/rating-based-dataset/images/english/104.png,4.468527315914489,0.103,0.173,0.57,1.0,0.911,0.665,0.0,0.277,84.5988,12.0,0.3105,0.1713,0.3707,31.0,0.4452,1.2588,0.7061,0.8152,0.0457,0.8
../calista/rating-based-dataset/images/english/105.png,2.263917525773196,0.3,0.367,0.21,1.0,0.894,0.575,0.0,0.991,70.0531,15.0,0.4168,0.2818,0.5986,32.0,0.4518,0.9484,0.8331,0.8885,0.0417,0.7
../calista/rating-based-dataset/images/english/106.png,5.39,0.109,0.671,0.68,1.0,0.907,0.704,0.0,0.029,53.4203,14.0,0.37,0.2097,0.2053,38.0,0.484,1.0413,0.7301,0.8653,0.037,0.2
../calista/rating-based-dataset/images/english/107.png,4.446467991169978,0.12,0.597,0.42,1.0,0.931,0.618,0.0,0.743,57.3163,13.0,0.2497,0.1679,0.5,36.0,0.477,1.3707,0.7174,0.8107,0.0351,0.6
../calista/rating-based-dataset/images/english/108.png,4.580552359033372,0.153,0.87,0.25,1.0,0.79,0.598,0.158,0.223,41.759,6.0,0.222,0.1427,0.3505,25.0,0.4059,1.1127,0.6697,0.8433,0.045,0.3
../calista/rating-based-dataset/images/english/109.png,3.7857142857142856,0.113,0.564,0.42,1.0,0.749,0.416,0.0,0.989,59.0418,9.0,0.3344,0.1954,0.5972,35.0,0.4683,1.0877,0.7345,0.8566,0.0513,0.6
../calista/rating-based-dataset/images/english/11.png,3.9875406283856987,0.368,0.992,0.13,1.0,0.918,0.398,0.614,0.199,20.8964,2.0,0.1433,0.0971,0.8996,36.0,0.4762,1.1298,0.552,0.8529,0.0102,0.7
../calista/rating-based-dataset/images/english/111.png,5.798679867986799,0.089,0.938,0.48,1.0,0.71,0.617,0.0,0.031,36.4171,14.0,0.3122,0.1855,0.2108,26.0,0.4161,0.9484,0.7425,0.871,0.04,0.2
../calista/rating-based-dataset/images/english/112.png,4.510240963855422,0.187,0.372,0.27,1.0,0.898,0.508,0.112,0.989,69.7672,7.0,0.23,0.146,0.6429,34.0,0.4627,1.0787,0.6368,0.8615,0.0281,0.3
../calista/rating-based-dataset/images/english/113.png,5.143982002249719,0.292,0.995,0.29,1.0,0.873,0.556,0.333,0.954,21.7998,5.0,0.1876,0.121,0.5725,51.0,0.5504,0.9727,0.651,0.8815,0.0165,0.9
../calista/rating-based-dataset/images/english/114.png,2.922028353326063,0.135,0.613,0.1,1.0,0.911,0.492,0.0,0.219,56.4761,10.0,0.3362,0.1952,0.3488,15.0,0.329,1.0103,0.742,0.8632,0.0476,0.3
